Timestamp,Player,Disks,Moves Taken,Minimum Moves,Solution Status
2025-02-09T08:50:86,Max,7,128,127,Keep trying
2025-02-09T08:52:54,Mithi,10,1028,1023,Keep trying
2025-02-09T08:50:87,Max,4,16,15,Keep trying
2025-02-09T08:52:55,Ash,6,63,63,Solved!
2025-02-09T08:50:88,Max,6,69,63,Keep trying
2025-02-09T08:52:56,Max,8,258,255,Keep trying
2025-02-09T08:50:89,Mithi,3,7,7,Solved!
2025-02-09T08:52:57,Max,6,70,63,Keep trying
2025-02-09T08:50:90,Mithi,7,135,127,Keep trying
2025-02-09T08:52:58,Mithi,4,21,15,Keep trying
2025-02-09T08:50:91,Ash,9,512,511,Keep trying
2025-02-09T08:52:59,Max,8,261,255,Keep trying
2025-02-09T08:50:92,Ash,9,512,511,Keep trying
2025-02-09T08:52:60,Max,8,255,255,Solved!
2025-02-09T08:50:93,Max,9,516,511,Keep trying
2025-02-09T08:52:61,Max,4,17,15,Keep trying
2025-02-09T08:50:94,Mithi,9,514,511,Keep trying
2025-02-09T08:52:62,Max,5,36,31,Keep trying
2025-02-09T08:50:95,Max,9,513,511,Keep trying
2025-02-09T08:52:63,Max,7,129,127,Keep trying
2025-02-09T08:50:96,Max,3,8,7,Keep trying
2025-02-09T08:52:64,Ash,9,519,511,Keep trying
2025-02-09T08:50:97,Max,7,130,127,Keep trying
2025-02-09T08:52:65,Max,7,135,127,Keep trying
2025-02-09T08:50:98,Max,10,1027,1023,Keep trying
2025-02-09T08:52:66,Max,3,9,7,Keep trying
2025-02-09T08:50:99,Ash,10,1032,1023,Keep trying
2025-02-09T08:52:67,Ash,10,1032,1023,Keep trying
2025-02-09T08:50:100,Mithi,8,260,255,Keep trying
2025-02-09T08:52:68,Ash,3,7,7,Solved!
2025-02-09T08:50:101,Ash,10,1023,1023,Solved!
2025-02-09T08:52:69,Mithi,7,135,127,Keep trying
2025-02-09T08:50:102,Ash,3,7,7,Solved!
2025-02-09T08:52:70,Ash,10,1026,1023,Keep trying
2025-02-09T08:50:103,Mithi,4,15,15,Solved!
2025-02-09T08:52:71,Mithi,8,259,255,Keep trying
2025-02-09T08:50:104,Ash,4,21,15,Keep trying
2025-02-09T08:52:72,Ash,9,515,511,Keep trying
2025-02-09T08:50:105,Mithi,4,17,15,Keep trying
2025-02-09T08:52:73,Ash,6,68,63,Keep trying
2025-02-09T08:50:106,Ash,8,259,255,Keep trying
2025-02-09T08:52:74,Mithi,3,7,7,Solved!
2025-02-09T08:50:107,Mithi,7,128,127,Keep trying
2025-02-09T08:52:75,Max,10,1030,1023,Keep trying
2025-02-09T08:50:108,Ash,10,1028,1023,Keep trying
2025-02-09T08:52:76,Max,7,129,127,Keep trying
2025-02-13T08:12:07,Ash,3,7,7,Solved!
2025-03-09T15:53:13,Ash,2,3,3,Solved!
2025-03-09T15:58:25,Mithi,2,3,3,Solved!
